1,16,5,474635
1,18,2,144328
1,17,1,436252
1,21,5,571377
1,30,5,191504
1,12,1,850111
1,14,1,146765
1,4,3,932356
1,2,4,189201
1,1,5,859216
1,10,5,912386
1,29,2,981612
1,11,2,821822
1,9,3,801529
1,23,4,678234
2,8,3,429752
2,12,4,394745
2,23,3,441517
2,13,1,717168
2,24,2,367188
2,3,4,953971
2,26,4,924712
2,21,5,532818
2,28,4,395524
2,18,3,581890
2,14,5,863703
2,29,3,687327
2,17,2,823951
2,22,3,579449
3,14,3,804360
3,5,5,815602
3,27,5,951423
3,4,1,328044
3,10,4,631067
3,28,1,185544
3,16,3,654548
3,24,1,254162
3,21,1,608454
3,18,1,615186
3,1,3,519386
3,20,4,570368
3,22,4,787530
3,25,5,819319
3,13,3,542937
3,2,2,639633
4,19,4,343481
4,28,4,427772
4,26,3,382995
4,24,2,241850
4,23,5,233004
4,3,1,942513
4,22,3,494113
4,25,4,444987
4,18,1,756716
4,14,1,597693
4,13,5,942525
5,4,3,111072
5,30,1,508885
5,24,4,842858
5,9,3,365822
5,28,5,512692
5,25,2,498082
5,15,1,371734
5,16,3,926596
5,1,4,803163
5,20,3,199529
5,11,2,997330
5,13,1,891279
6,27,5,132546
6,24,1,104886
6,17,1,146492
6,30,5,645332
6,20,5,821332
6,4,5,314697
6,21,2,864467
6,22,2,151508
6,23,4,820866
6,14,5,935014
6,3,1,794896
6,16,5,728308
6,1,5,854181
6,5,3,136136
6,28,3,281603
7,12,3,982183
7,13,4,650388
7,19,3,149050
7,25,1,654677
7,18,1,138115
7,14,2,895730
7,3,3,738619
7,15,3,255814
7,28,2,182548
7,16,4,265179
8,16,3,557516
8,15,4,463630
8,18,5,526751
8,29,1,207295
8,10,5,220685
8,8,5,350267
8,12,1,374233
8,13,4,485112
8,5,4,649888
8,6,3,671165
8,22,5,470629
8,21,1,467904
8,25,5,295865
9,15,5,561464
9,9,5,763034
9,20,3,897761
9,27,1,928950
9,19,5,553269
9,18,4,568247
9,10,2,819882
9,1,2,383005
9,3,3,853643
9,11,2,544726
9,6,1,204270
9,16,1,164853
9,28,5,857793
9,30,5,150011
9,22,1,352550
9,24,3,400716
9,4,3,255694
10,21,1,734865
10,5,4,449057
10,30,5,676799
10,7,2,109654
10,14,4,288151
10,20,4,572578
10,18,3,247376
10,17,4,249316
10,6,3,852673
10,11,5,990218
10,10,5,600371
10,1,2,855161
10,19,5,991288
10,2,4,227436
10,26,3,503420
